Distance_to_soma,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595
00315_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_21_17_08,16,16,17,17,18,22,28,26,31,31,36,37,38,37,34,31,33,30,31,30,31,28,27,26,24,22,18,17,11,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00316_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_17_18,13,13,13,14,16,21,31,31,38,36,34,36,36,39,40,41,39,36,30,24,22,20,19,18,18,17,15,12,10,7,6,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00320_P005_T01-S003_MFG_R0678_LJ-20220525_GSX_stamp_2022_07_26_15_45,12,12,12,14,13,14,16,19,23,25,31,32,34,38,39,37,34,31,32,32,29,26,22,19,17,15,15,14,14,12,9,8,8,8,7,6,6,4,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00322_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_08_31_14_29,10,10,12,13,14,15,19,21,24,28,31,36,41,38,35,33,35,33,33,33,31,28,24,23,21,14,11,7,7,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00325_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_26_16_34,7,7,7,7,7,7,7,10,11,13,14,15,14,15,15,14,13,12,11,9,8,7,5,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00326_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_21_17_09,15,15,15,15,17,17,20,25,28,28,30,27,30,30,30,28,29,26,22,18,16,12,11,10,8,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00328_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_26_17_03,10,10,10,10,11,13,18,17,17,16,17,20,20,23,26,27,24,25,25,24,21,18,16,12,11,9,6,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00329_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_21_17_10,11,11,11,11,13,15,15,20,25,28,34,36,35,36,35,30,28,27,26,24,20,19,18,17,14,13,9,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00331_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_21_17_11,11,11,11,11,14,20,22,28,25,26,28,28,26,21,19,15,15,15,13,11,11,8,8,5,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00333_P005_T01-S016_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_08_56,10,10,11,12,14,16,19,17,23,26,28,28,27,26,22,22,21,20,16,15,14,14,12,11,9,7,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
