Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00207_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_31_14_24.ano.eswc,8,144,5316.23,73.8486,54.866,1.09581
00209_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_07_13_17_22.ano.eswc,7,125,3961.66,71.9109,57.6023,1.13661
00211_P003_T01-S004_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_13_17_23.ano.eswc,8,108,4202.19,68.9696,57.9571,1.08555
00215_P003_T01-S004_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_23_16_00.ano.eswc,8,68,2634.93,78.5806,56.2972,1.06772
00216_P003_T01-S004_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_23_17_24.ano.eswc,9,67,2408.38,59.4847,61.5693,1.05006
00224_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_13_17_23.ano.eswc,8,108,4245.22,70.4733,58.3357,1.10231
00225_P003_T01-S004_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_23_17_25.ano.eswc,7,69,2080.44,75.7476,56.8182,1.06559
00226_P003_T01-S004_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_30_11_16.ano.eswc,8,58,1535.09,83.8708,61.0073,1.05656
00227_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_13_17_24.ano.eswc,11,231,8001.12,65.7344,50.2134,1.11761
00228_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_13_17_25.ano.eswc,10,142,6354.79,63.9596,57.5331,1.09309
00229_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_13_17_26.ano.eswc,6,176,7688.83,66.2557,57.3201,1.09538
00230_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_20.ano.eswc,9,153,6113.57,62.3684,48.7558,1.11065
00231_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_08_11_15_27.ano.eswc,9,118,3861.98,83.205,63.2104,1.07679
00232_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_20.ano.eswc,14,183,6270.78,67.0864,51.7809,1.1243
00236_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_21.ano.eswc,11,144,6765.9,78.065,55.3211,1.12919
00237_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_22.ano.eswc,7,141,6194.67,80.2873,51.3215,1.09817
00238_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_23.ano.eswc,10,94,5516.63,61.337,49.2151,1.07715
00240_P003_T01-S004_S(M)TG_R0919_WY-20220513_LJ_stamp_2022_07_14_17_24.ano.eswc,10,170,8898.34,59.4901,50.5342,1.09061
00241_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_31_14_54.ano.eswc,6,118,5439.81,62.5402,60.1204,1.07699
00242_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_14_17_28.ano.eswc,7,160,5599.02,76.5668,58.797,1.10943
00245_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_15_17_13.ano.eswc,7,131,5273.29,67.8724,53.1553,1.10718
00246_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_07_15_17_14.ano.eswc,10,129,4091.38,77.3797,59.4113,1.1254
00247_P003_T01-S007_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_15_17_15.ano.eswc,10,69,3930.7,66.9015,54.301,1.08665
00248_P003_T01-S007_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_15_17_15.ano.eswc,7,81,3271.36,72.9458,59.4164,1.07022
00249_P003_T01-S007_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_07_15_17_16.ano.eswc,8,62,1949.23,79.8202,55.3836,1.05585
00250_P003_T01-S007_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_15_17_17.ano.eswc,11,75,3683.42,64.9064,53.9445,1.09825
00252_P003_T01-S007_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_24_09_40.ano.eswc,8,66,2262.79,72.3913,64.5851,1.07721
00253_P003_T01-S007_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_15_17_22.ano.eswc,7,85,3132.29,76.3306,59.7083,1.11285
00255_P003_T01-S007_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_08_24_14_21.ano.eswc,8,74,3246.69,62.6158,62.9215,1.12797
00256_P003_T01-S007_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_11_16_22.ano.eswc,9,89,3814.74,92.6798,67.7825,1.11008
00259_P003_T01-S007_S(M)TG_R0919_WY-20220513_LJ_stamp_2022_07_15_17_22.ano.eswc,10,74,3703.23,65.0481,61.2271,1.09278
00262_P003_T01-S007_S(M)TG_R0509_WY-20220513_YXQ_stamp_2022_07_18_17_11.ano.eswc,7,117,3774.26,78.4444,62.6458,1.06543
00263_P003_T01-S007_S(M)TG_R0678_WY-20220513_YXQ_stamp_2022_07_18_17_12.ano.eswc,7,209,7552.03,68.5692,55.4108,1.09096
00264_P003_T01-S007_S(M)TG_R0678_WY-20220513_YXQ_stamp_2022_07_18_17_13.ano.eswc,8,106,4627.25,79.762,57.7496,1.09782
00267_P003_T01-S007_S(M)TG_R0678_WY-20220513_XJ_stamp_2022_07_18_17_13.ano.eswc,10,141,5931.72,68.4278,48.9454,1.11018
00270_P003_T01-S007_S(M)TG_R0678_WY-20220513_XJ_stamp_2022_07_18_17_15.ano.eswc,9,149,5078.09,67.2845,53.3917,1.09485
00271_P003_T01-S007_S(M)TG_R0509_WY-20220513_XJ_stamp_2022_08_24_14_21.ano.eswc,8,78,2212.07,85.8826,58.9341,1.06234
00272_P003_T01-S007_S(M)TG_R0509_WY-20220513_XJ_stamp_2022_07_18_17_16.ano.eswc,7,81,2703.06,64.1223,54.33,1.03697
00273_P003_T01-S007_S(M)TG_R0509_WY-20220513_XJ_stamp_2022_07_18_17_17.ano.eswc,7,77,2923.29,64.4746,56.827,1.0891
00274_P003_T01-S007_S(M)TG_R0678_WY-20220513_LJ_stamp_2022_07_18_17_18.ano.eswc,6,140,5836.1,75.1507,57.7979,1.08914
00275_P003_T01-S007_S(M)TG_R0678_WY-20220513_LJ_stamp_2022_07_05_17_23.ano.eswc,9,158,6999.15,63.1203,49.0639,1.09651
00276_P003_T01-S007_S(M)TG_R0678_WY-20220513_LJ_stamp_2022_07_19_16_07.ano.eswc,8,144,6314.93,67.3075,49.9244,1.07156
00278_P003_T01-S007_S(M)TG_R0678_WY-20220513_LJ_stamp_2022_07_19_16_08.ano.eswc,9,112,5359.7,75.4233,48.6087,1.09479
00280_P003_T01-S007_S(M)TG_R0678_WY-20220513_LJ_stamp_2022_07_19_16_09.ano.eswc,8,144,5422.16,78.7999,55.9556,1.12323
00282_P003_T01-S007_S(M)TG_R0509_WY-20220513_LJ_stamp_2022_07_19_16_09.ano.eswc,10,72,3576.28,62.4991,52.9583,1.11607
00285_P003_T01-S008_S(M)TG_R0509_WY-20220513_YXQ_stamp_2022_07_19_16_10.ano.eswc,9,60,1779.94,59.9885,54.8414,1.09319
00289_P003_T01-S008_S(M)TG_R0509_WY-20220513_XJ_stamp_2022_08_24_14_22.ano.eswc,9,71,2366.74,61.7793,53.1379,1.08188
00293_P004_T01-S001_IFG_R0509_GYC-20220523_LJ_stamp_2022_07_05_17_05.ano.eswc,8,61,1512.64,91.4781,65.3637,1.05169
00294_P004_T01-S001_IFG_R0509_GYC-20220523_LJ_stamp_2022_08_31_13_53.ano.eswc,7,68,1508.46,77.708,57.3862,1.07655
00295_P004_T01-S004_IFG_R0509_LJ-20220525_LJ_stamp_2022_07_05_17_09.ano.eswc,12,68,2147.06,70.233,54.1041,1.08275
00296_P004_T01-S004_IFG_R0509_LJ-20220525_LJ_stamp_2022_07_05_17_11.ano.eswc,8,50,1119.15,73.2232,60.3887,1.06884
00299_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_08_31_14_56.ano.eswc,11,59,2197.87,63.5824,58.0495,1.04627
00302_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_21_17_07.ano.eswc,11,119,4221.6,75.1933,59.4654,1.12098
00309_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_12.ano.eswc,12,100,4081.59,80.2919,55.5357,1.12457
00310_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_13.ano.eswc,10,94,4205.22,86.954,64.081,1.10564
