Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00129_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_06_30_14_36.ano.eswc,IPL,49,F,2573,4536.46,7,68,142,75,313.006,311.404,164,2.23615,5000.34,40503.8,61073.6,219.449,248.623,12,0.916204,17.1127,0.942111,61.6016,52.1444,1.08185
00130_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_06_30_17_16.ano.eswc,IPL,49,F,2812,4536.46,7,54,113,60,312.63,277.689,163,2.14545,5088.29,38490.8,46492.3,204.588,255.086,8,0.916147,23.8761,1.04324,79.957,59.376,1.07784
00131_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_06_30_16_08.ano.eswc,IPL,49,F,3367,2827.43,7,90,186,97,310.791,274.011,147,2.21572,6200.15,49762.2,67204.4,177.138,248.382,11,0.917432,17.0968,1.02893,69.0058,59.4079,1.10451
00132_P003_T01-S001_S(M)TG_R0919_WY-20220513_XJ_stamp_2022_06_30_17_17.ano.eswc,IPL,49,F,2221,1256.64,8,51,108,58,386.899,374.952,152,2.14261,5771.52,43522.7,39857.7,208.188,274.28,8,0.924934,19.5556,1.00684,63.6428,50.1673,1.07493
00133_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_13.ano.eswc,IPL,49,F,2120,5026.55,8,51,108,58,312.63,308.606,129,2.27664,4154.38,33696.5,54943.3,207.542,267.178,12,0.917255,18.6204,0.920701,75.2127,58.6057,1.06521
00134_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_08_17_14.ano.eswc,IPL,49,F,2303,4071.5,9,55,119,65,312.915,313.243,111,2.20563,4588.4,36039.2,42290.4,223.748,275.302,9,0.922978,18.3445,0.917133,75.4764,54.2111,1.09449
00135_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_05_17_17.ano.eswc,IPL,49,F,2042,3631.68,10,57,122,66,313.243,311.404,129.929,2.21697,5064.32,39196.6,50202.6,212.472,246.806,8,0.926489,15.7295,0.930564,65.0509,56.7201,1.10468
00136_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_08_17_15.ano.eswc,IPL,49,F,1856,3216.99,8,46,98,53,311.745,307.113,89,2.16325,3578.26,27932,34219.6,198.402,235.717,9,0.927708,17.9286,0.963416,62.0721,51.8087,1.0901
00137_P003_T01-S001_S(M)TG_R0460_WY-20220513_stamp_2022_08_15_09_56.ano.eswc,IPL,49,F,1348,12.5664,8,28,62,35,222.18,180.78,129,1.99852,1893.95,11900.1,5950.03,138.319,164.978,7,0.89173,20.7258,1,71.6149,63.8013,1.0394
00138_P003_T01-S001_S(M)TG_R0460_WY-20220513_stamp_2022_08_11_10_40.ano.eswc,IPL,49,F,2006,12.5664,9,51,109,59,193.2,211.6,97,1.999,2895.97,18195.9,9097.97,126.776,165.909,8,0.90438,17.3945,1,82.683,68.26,1.12944
00142_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_11_17_14.ano.eswc,IPL,49,F,2859,2463.01,7,76,159,84,286.271,311.404,147,2.11514,4709.35,34161.1,38768.7,184.811,221.464,11,0.913967,16.9748,0.979633,75.1458,60.3273,1.08765
00144_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_16_09_41.ano.eswc,IPL,49,F,1236,12.5664,8,26,58,33,204.742,134.043,133,1.99838,2020.56,12695.5,6347.76,133.88,157.785,6,0.901052,20.2931,1,86.9344,63.8112,1.04672
