Distance_to_soma,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595
00891_P010_T01-S012_TP_R0678_LJ-20220607_XJ_stamp_2022_08_18_09_01,8,8,8,8,10,13,15,22,21,21,31,31,35,38,42,51,50,46,48,46,44,45,45,39,37,36,35,29,28,23,19,17,13,8,5,4,2,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00892_P010_T01-S012_TP_R0678_LJ-20220607_XJ_stamp_2022_08_18_09_01,14,14,14,14,14,14,15,18,28,27,29,30,35,36,35,37,35,32,32,31,34,26,24,22,20,19,19,15,8,5,4,5,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00894_P010_T01-S012_TP_R0509_LJ-20220607_XJ_stamp_2022_08_18_09_02,9,9,9,11,14,14,15,18,19,19,20,19,21,19,20,20,18,16,14,13,13,9,7,5,4,4,4,3,3,3,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00895_P010_T01-S012_TP_R0509_LJ-20220607_YXQ_stamp_2022_08_18_09_04,9,9,9,12,11,13,16,17,19,21,20,20,20,21,22,23,22,22,22,22,20,20,18,16,16,15,15,11,10,8,8,6,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00896_P010_T01-S012_TP_R0678_LJ-20220607_YXQ_stamp_2022_08_18_09_04,9,9,9,9,10,14,15,17,19,20,26,29,30,29,30,30,30,32,34,34,32,32,32,26,25,25,21,19,12,10,9,9,6,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00898_P010_T01-S012_TP_R0678_LJ-20220607_YXQ_stamp_2022_08_18_09_05,11,11,11,12,12,13,15,20,22,24,21,20,21,20,20,19,17,13,12,12,11,12,11,10,11,9,7,10,5,4,4,4,4,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00908_P011_T01-S001_STG-AP_R0678_WY-20220610_XJ_stamp_2022_08_18_09_08,11,11,11,11,13,14,14,19,23,26,34,38,43,49,53,56,51,50,50,49,44,41,37,35,32,27,28,28,26,25,23,23,23,18,17,15,13,9,6,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00910_P011_T01-S001_STG-AP_R0678_WY-20220610_YXQ_stamp_2022_08_18_09_09,8,8,8,8,8,11,12,12,17,20,27,30,31,32,31,30,32,34,32,31,28,24,23,23,23,21,21,21,21,21,19,17,17,14,13,11,8,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00931_P009_T01-S026_SFG_R0678_LJ-20220603_XJ_stamp_2022_08_31_14_44,7,7,7,7,7,8,10,12,16,19,19,22,27,34,38,37,33,34,31,24,21,21,16,14,11,10,10,8,8,8,8,7,6,4,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00932_P009_T01-S026_SFG_R0509_LJ-20220603_XJ_stamp_2022_08_18_16_58,12,12,12,12,13,13,17,19,19,19,17,18,19,20,21,17,9,7,7,7,6,5,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
